author,rating,title,content,updated_date
Meryzi,5,만족해요,아주 간편하고 좋습니당!,2025-07-02T07:51:40-07:00
👍헬리,5,🫶👍👍👍👍👍👍👍,🫶🫶🫶🫶🫶👍👍👍👍,2025-07-02T07:40:00-07:00
나의 kb,5,정기예금,상품가입 절차와 만기예상금액 예시로 쉽게 알려줘 좋았다.,2025-07-02T03:44:19-07:00
코코 맘미,5,정기예금,가입도 간편하고 좋네요 행복한 미래를 응원해 주세요,2025-07-02T03:15:07-07:00
쯧쯧 에~휴,1,ㅂㅅ같음,"진짜 주기적으로 무한로딩 걸림
삭제 했다 까는거 귀찮아 죽겠다
국민은행 안쓴다 이거때문에",2025-07-02T03:13:34-07:00
로딩너무느려서답답,5,만족해요,한동안 사용안하다가 했는데 만족합니다,2025-07-02T01:38:01-07:00
산이나 함 갈까~~,5,환전,매우만족,2025-07-01T23:16:04-07:00
워네키디,5,굿,귯,2025-07-01T23:07:08-07:00
낙찌엄마,5,최은미님,너무 친절하고 설명이 너무 감사했습니다,2025-07-01T22:34:05-07:00
첫청주청약,5,만족,대만족,2025-07-01T22:17:51-07:00
supermomagnes,5,환전,스타뱅킹 안에서 손쉽게 이해쉽게 할 수 있어서 좋아요,2025-07-01T21:55:15-07:00
kb 리치,5,정기예금 가입,혼자서 집에서도 가입가능해서 편리합니다,2025-07-01T21:12:58-07:00
gomusin1427,5,출금계좌등록,간편해서 좋아요,2025-07-01T21:01:02-07:00
토깽이이잉,5,좋아요,간편하고 빨라서 좋아요,2025-07-01T20:45:46-07:00
jaen219,5,좋인요,좋아요,2025-07-01T19:46:02-07:00
엘쁘,5,특별한적금,특별한 날을위해.적금❣️,2025-07-01T19:45:55-07:00
실랭이,5,손쉽고 아주 좋은거 같아요,손쉽고 간략하게 보기 좋은거 같아요,2025-07-01T19:04:00-07:00
하찐민,4,환전신청,완전 편해요,2025-07-01T18:13:56-07:00
너스아라,5,상품가입이 쉬워요,가입. 해지가 편리하고 고객센터 문의시 친절해서 좋아요.,2025-07-01T18:04:29-07:00
심지기,5,환전 신청이 편해요 지점에서찾기,환전 신청이 편해요 지점에서,2025-07-01T17:44:18-07:00
대한민국 경기도 남양주,5,금융,스마트뱅킹을 이용한 빠른 업무처리 덕분에  시간을 이낄수있어 좋았읍니다.,2025-07-01T17:34:12-07:00
JB맘,5,정기예금,가입 절차가 복잡 하지 않고 쉬워서 좋아요,2025-07-01T17:17:33-07:00
누렁66,5,한도 변경간편,이체한도 변경간편  좋습니다.,2025-07-01T16:42:14-07:00
동래읍성,5,패스워드,셀프변경 편리했습니다.,2025-07-01T07:44:24-07:00
HR무지개,5,정기예금 가입절차,참 편리합니다!!,2025-07-01T06:55:27-07:00
차 없어도 돼,5,안내,친절한 상담,2025-07-01T06:29:24-07:00
샤라자드,5,환전,우대환율 감사감사!!,2025-07-01T06:11:38-07:00
로오오렃,5,빠른승인,쉽게할수있어 편해요,2025-07-01T06:04:42-07:00
넘 조아조아,5,환전,빠르고 쉽고 간단해서 조아요,2025-07-01T05:37:53-07:00
달력 찾는 사람,4,소비 달력,달에 얼마 썼는지 누적 금액 좀 확인하고 싶은데 달력 기능은 사라진 걸까요. 아님 다른 유아이에서 확인이 가능하든가… 답답핑,2025-07-01T05:12:05-07:00
Maraㅎ뉴노,5,항상 고맙습니다,항상듬직한 모습으로 도움을줘서 고맙습니다,2025-07-01T03:47:08-07:00
자우박,4,깔끔합니다~~,굿,2025-07-01T00:32:48-07:00
후들후들다리,5,간편하게 kb어플,이용함에있어 편리하고 손 쉽게 할 수 있어 불편함을 느낄수 없었습니다. 항상 잘 애용하고 있어요!,2025-07-01T00:23:28-07:00
요미가자,5,휴먼통장도 찾아주고좋아요~,"다른은행에 제가 모르는 통장에 돈도 찾아 주는 기능이 있네요
다른 분들도 잠들어 있는 돈이 있는지 1번 조회해 보세요~",2025-06-30T23:56:45-07:00
ssongssonggggg,1,업뎃만 하면 왜,"업뎃만 하면 왜 잘 쓰던 기능이 사라져있죠
내 계좌 한눈에 보기 이런거 들어가자마자 잇어서 좋았는데 업뎃하고 UI 바뀌면 찾지도 못하게 꽁꽁 숨겨놔요 왜 ㅡㅡ
그럴거면 커스텀 되게 해주던가
직관적으로 사용하게 만들지도 못할거면 업뎃을 왜하는거임 대체?",2025-06-30T22:33:26-07:00
한번 걸어보자,5,한도변경,편리하고 정확하게 하시네요,2025-06-30T22:24:05-07:00
티파니-J,5,정기예금,상품종류가 좀 더 다양하고 쉽게 이해가능하면 더 만족할 것 같습니다.,2025-06-30T21:55:19-07:00
5G보다더,5,앱을 이용한 통장가입 최고,간편하고 편리해서 빠르게 가입할 수 있어요,2025-06-30T21:44:03-07:00
긍정대장,5,모바일 인증,너무 편해요,2025-06-30T21:10:31-07:00
빈또루,5,간편해요,다른 은행 어플처럼 복잡하지않아요,2025-06-30T21:06:17-07:00
나리임다,5,편해여,앱을 사용하기 편리해요,2025-06-30T19:36:58-07:00
별명까지 지랄이네,5,정말 편하고 좋아요,정말 편하고 좋아요,2025-06-30T19:14:58-07:00
초톨릿,5,내마음대로적금,쉽게가입할수있어좋아요,2025-06-30T18:45:05-07:00
푸후사랑,5,칭찬합니다,빠르고 이용이 편리합니다,2025-06-30T18:44:46-07:00
양양아,5,역시 케이비,철저해서 안심,2025-06-30T18:13:30-07:00
TheodoreJH,1,입출금내역 공유 버튼,이거 업데이트 되고 입출금내역 공유하기 버튼이 사라져서 너무 불편합니다. 공유하기로 가계부 어플에 보내서 편리하게 가계부 작성할 수 있었는데 지금은 아무리 찾아봐고 입출금 내역 공유할수 있는 방법이 없어요. 왜 굳이 삭제했는지도 모르겠고... 다시 살려주시길 바랍니다.,2025-06-30T17:37:37-07:00
HEsDREAM,5,이체한도 변경,"간편해요.
업무 진행에 도움 됩니다.",2025-06-30T17:25:45-07:00
kenygtdd,5,정기 예금 가입 퍈리해요,인터넷뱅킹으로 정기예금 가입절차가 편리하고 쉽게 이용할 수 있어서 매우 만족합니다,2025-06-30T17:13:10-07:00
퀸틸리언,4,편리하게 재예치,좋습니다,2025-06-30T17:11:03-07:00
아이리스쑥,5,만족하고 좋아용,ㅋ굿이예여 잘쓸게용,2025-06-30T12:54:06-07:00
갇블레싱,5,죠와유~,편리해요,2025-06-30T08:57:53-07:00
ok짱이야,5,만족해요,만족해요,2025-06-30T07:08:22-07:00
눈부셔좋아,5,이율좋아,그 어떤곳보다 이율좋음!kb 일 잘하네요,2025-06-30T06:42:07-07:00
Fishesㅎㅎ,5,만족,만족👍🏻,2025-06-30T03:10:56-07:00
버터케이크,5,kb스타뱅킹 좋아요~,만족스럽고 좋아요~,2025-06-30T02:28:38-07:00
루이71,5,역시 KB스타뱅킹이 최고예요,"앱 사용이 간편하고 이벤트도 많아서 만족합니다
감사합니다",2025-06-30T02:13:35-07:00
