author,rating,title,content,updated_date
솔직한 리뷰만 적을게요,5,진짜 제발 적당히 좀 해라,"채팅방 데이터 거의 맨날 지우는 듯
이정도면 모든 이용자들이 톡서랍 구독해주시길 바라는건가요 진짜 초심 좀 찾자 고작 매월 몇천원 가벼운줄 알아? 그 돈도 없는 사람들과 학생 노약자들 많아요
제발 옛날로 돌아와",2025-07-02T05:52:55-07:00
아뱌뱝,5,폴더기능 있었으면 좋겠어요,인터넷 바탕화면에 새폴더 만들어서 정리하듯이 채팅목록에 폴더 만들어서 직장이나 친구 가족들 톡방 분류할수있는 기능이있었으면 좋겠어요,2025-07-02T03:16:51-07:00
않이ㅎㅋ;,5,자꾸 앱이 꺼져요,"웹에서 다운받은 파일을 톡방에 공유한다음, 해당 톡방에 들어가니 자꾸 카톡 앱이 꺼집니다 해결 부탁드려요",2025-07-01T21:05:44-07:00
무한장자,1,야이cfoot년아,존나왜이럼좆같네업데이트를햇는데도카톡이안보내짐ㅋㅋㅋㅋ이시발련이왜이러노갑자기...,2025-07-01T17:49:32-07:00
cherryjubille31,1,위젯 아이콘 모양 왜 안뜨나여,아이폰 어느순간 위젯 카톡로고 안보이는데 점점 무거운 앱이 되가서 슬퍼지네요 ㅠ,2025-07-01T16:00:16-07:00
고양이 집사 시아다옹,1,별 하나 주기도 아깝네;;,아니 나한테 링크 보넸었고  엄마한테 러브버그 있다고 잡아달라고 sos보넷는데 정지 풀어주삼;;;(안풀어주면 죽여버린다;;;),2025-07-01T07:49:00-07:00
멸공짱깨박멸,1,더불어공산당과 한패,ㅈㄱㄴ 개별로임 별 하나도 아까움,2025-07-01T07:36:35-07:00
카카오 미워,1,해킹,"해킹 당했는데 비번바꾸고  로그인하려하니 인증 요청 횟수 제한 걸려 24시간 안된다고 하네요.. 문의하기에 반나절 동안 4번 보내도 답도 없고.. 해킹한 ㄴ은 카톡에 있는 모든 사람에게 나인척 하면서 돈빌리고 있고.. 
친구랑 통화하는 와중에 그친구한테 카톡 보내는데 난 아무것도 할수 없고 너무 답답합니다.. 문의하면 응대를 빨리 해주던가 .. 직통으로 신고할수 있도록 만들어 놓던가..",2025-07-01T05:49:03-07:00
금비를 사랑하는 지윤,2,왜 이모티콘 받기가 안돼요??,안녕하세요! 어제 이벤트한걸 이제 보고 해볼려고 하는데 왜 매일 안하시는거죠? 저 이거 할려다가 갑분싸하면서 울 뻔 했어요;; 님들아 업뎃도 했는데 안주는게 왤캐 뻔하세요;; 원래는 1점 할려 하다가 2점 드릴게요;;,2025-07-01T03:43:42-07:00
MilkyJh7,1,돈독 너무 심하게 오름,"아니 뭔 채팅방에서 축하만 하면 걸리적거리게 축하포쏘기가 뜨고 그것만 뜨면 다행인데 자꾸 선물하기로 결제 유도해서 짜증남
어지간하면 인스타 디엠이 쓰게됨",2025-07-01T02:06:13-07:00
Asssddi,5,인권이란 없는건가요?,검열은 왜하는거죠? 민주당 왜지지하죠?,2025-07-01T00:51:31-07:00
vavdbsnwn,3,제발 폭죽 좀 없애주세요,축하한단 말만 들어가면 폭죽나와서 노이로제 걸릴 것 같아요 너무 거슬려요 방에 들어갈때마다 폭죽하라고 떠서 미칠거같아요 전 그냥 말로만 축하하고싶어요 ㅠ 온오프기능이라도 제발제발 그놈의 폭죽 좀 제발 그만 내눈에 안띄게해주세요ㅜ,2025-06-30T23:49:11-07:00
라면과 김밥,5,손가락 잘못 놀리면,드럼통 들어간다,2025-06-30T23:00:16-07:00
dourlight,2,qr로그인 인식이 너무 느림,아예 안돼서 종료하고 다시 시작해야 하는 상황이 너무 잦다,2025-06-30T18:43:40-07:00
미니-98-,1,카카오메일은 관리 안하시나요?,접속도 안 됨,2025-06-30T18:28:14-07:00
우취,2,해결좀 해주시면 감사하겠습니다.,"제가 카톡을 삼성폰으로만 사용하다가 이번에 1월달에 아이폰으로 바꾸면서 없었던 문제가 생겼습니다.
카톡이 오면 바로바로 알림이 뜨는게 맞는거 맞죠?
그런데 제 폰은 알림이 오면 한 30초에서 1분 정도 뒤에 알림이 울리고 또 어제는 카톡 알림이 4분에서 5분이나 늦게 알림이 울렸습니다... 이런 점은 제가 해결해야하는 건가요 아니면 카톡쪽에서 해결해 주실 수 있는건가요? ㅠㅠ 하는 일 특성상 톡을 빨리빨리 봐야해서... 해결 법좀 알려주세요..ㅠㅠ",2025-06-30T18:17:19-07:00
seoyoung777,1,스포방지,"일상에서 스포방지를 얼마나 쓴다고 제일 왼쪽에 배치했어요ㅠㅠ 오리기 붙이기 많이 사용하는데 스포방지는 맨 오른쪽으로 배치하는 게 좋을 거 같아요

습관적으로 오려두기 누르는데 스포방지 눌려서 너무 짜증나요..",2025-06-30T18:13:47-07:00
콩콩잉잉앙,2,배사 바꾸면 이전배사 사라지는거,참다참다 리뷰남깁니다 제목그대로 이전배사 사라지거나(사진 먹힘현상) 전에 사진 앞으로 땡겨오면 전에 사진이 그대로 남아서 한장 더 생깁니다 진짜 너무 스트레스받는데 해결좀 해주시고 배사 순서를 한눈에 보고 맘대로 바꿀수있는 시스템도 만들어주시면 좋을거같네요 인스타 스토리 누가봤는지 확인하는 그 창에 여러개 나타나지는 내 스토리 화면처럼,2025-06-30T16:52:09-07:00
딸기맛 원펀맨,1,영구정지,진짜로 자고 일어나니 영구정지먹고 계속 먹다 또 먹었는데 진짜 맛 가고 못쓰겠네요,2025-06-30T14:57:40-07:00
하아킹받네,1,에바임,나는 공산당이 싫어요,2025-06-30T11:29:00-07:00
메로니빵,1,광고때문에 너무 지저분함,"잡다한 기능이 너무 추가되서 쓰기싫다 회사단톡만 아니면 그냥 지워버리고싶을정도로; 쓸 이유가 없음 
요샌 텔레하는 추세라서 슬슬 갈아탈듯",2025-06-30T07:00:47-07:00
어려운딜러,1,키보드 툴바 제거 버튼의 위치의 불편함,키보드 툴바 제거 버튼의 위치를 바꿔주세요. 카톡을 보낼 때 자꾸 키보드 툴바 제거 버튼이 눌려서 툴바가 계속 제거 되고 카톡 보내는 것도 불편해저요. 카톡 보내는 버튼 밑에 다가는 키보드 툴바 제거 버튼 좀 두지마세요. 빠른 시일 내로 수정 해주시길 부탁드립니다.,2025-06-30T01:10:43-07:00
휔,5,사진 저장 날짜,아니 누가 사진 저장을 상대가 보낸 날짜로 저장되게 하나요 제발 저장한 날짜랑 갤러리에 저장되는 날짜 통일 좀 시켜주세요 원래 안 이랬는데 갑자기 이렇게 바뀌더는 설정으로 바꿀 수도 없고 뭐 어떡하라는 거죠,2025-06-30T00:56:13-07:00
마이트 가이,1,카카오톡,cia에 신고하면 어케됨?? 궁금해지네,2025-06-29T21:20:14-07:00
sygnos1,4,키보드 툴바의 맞츰법 검사 기능 보완,"키보드 툴바의 맞춤법 검사 후 
올바른 단어가 적색으로 표기되어 좋습니다만
현재는 적색 부분을 복사해서
해당 단어를 찾아 붙여넣기 해서 바꿔야 하는데
적색 단어를 클릭해서 자동변환(정정)될 수 있으면 아주 유용하겠습니다",2025-06-29T19:41:19-07:00
